prefecture,population_worldpop,superficie_km2,densite_worldpop_moyenne,densite_calculee,agents_mobile_money,agents_mm_pour_10000_hab,agences_moov,agences_togocom,agences_telecom,agences_canal,agences_telecom_total,datacenters,antennes_opencellid,antennes_pour_10000_hab
Golfe,1568848.125,152.02910608340565,8715.822916666666,10319.393209740405,2633,16.783013970839274,5,13,18,0,36,1,26,0.16572668562165635
Lome Commune,1021683.375,129.90623058251944,6549.252403846154,7864.775772637041,3377,33.0532930517735,9,11,20,0,40,2,5,0.04893884076365636
Zio,660573.5625,2264.6579543939265,248.3359257518797,291.68800578398356,1309,19.81611245605973,2,4,6,0,12,0,1,0.015138359401115149
Tone,494159.125,1237.7385960242552,335.4780210454854,399.24352895457116,1273,25.760932776461427,1,1,2,0,4,0,0,0.0
Haho,364772.9375,2786.774216424993,110.87323328267478,130.89432769618062,423,11.596254999043069,1,2,3,0,6,0,0,0.0
Oti,351891.21875,4421.330163712746,67.16763098873831,79.58944609884203,534,15.175144236247014,0,2,2,0,4,0,0,0.0
Blitta,328039.65625,3215.4837527222476,86.6912410808668,102.01875720015057,122,3.7190625485542954,1,1,2,0,4,0,0,0.0
Kozah,280023.71875,1073.7255957183822,220.66486899133176,260.79635231443706,1575,56.245235476146604,1,1,2,0,4,0,0,0.0
Dankpen,271032.3125,2656.243020179989,86.61946708213486,102.03596223723335,201,7.416089917323049,0,1,1,0,2,0,0,0.0
Ogou,269114.625,2216.0074216256926,103.26731580967,121.44121105992232,430,15.978321505195044,0,1,1,0,2,0,0,0.0
Anié,259216.53125,2171.67582176038,102.05375246062992,119.36244288978487,297,11.457602590691254,1,1,2,0,4,0,0,0.0
Tchaoudjo,257057.4375,2388.9981460985896,90.96158439490446,107.60051778181318,1406,54.69594708770098,1,3,4,0,8,0,0,0.0
Vo,255998.53125,744.3469216910078,298.0192447613504,343.92367831443755,559,21.836062780145344,0,0,0,0,0,0,0,0.0
Tchamba,255860.78125,3230.922305311631,66.8218284800209,79.19125162167016,205,8.012169704105444,0,2,2,0,4,0,0,0.0
Kpendjal,226276.609375,1825.1462129229137,104.22690436434823,123.97725057469516,168,7.4245411606632175,0,0,0,0,0,0,0,0.0
Yoto,216079.921875,1309.7509895123817,140.76867874592833,164.97786495694592,169,7.821180169519162,0,1,1,0,2,0,0,0.0
Est-Mono,204780.53125,2346.7980900424777,74.24964874909355,87.25954402250831,163,7.959741045939884,0,0,0,0,0,0,0,0.0
Ave,202852.25,906.783018021812,190.65061090225564,223.70539144252095,200,9.859392735352948,1,3,4,0,8,0,0,0.0
Kloto,196471.6875,554.5449235755722,307.46742957746477,354.29354619856196,499,25.398061489139497,1,1,2,0,4,0,0,0.0
Lacs,186850.3125,322.7003241526899,517.5908933518006,579.0211490819244,544,29.11421408513834,0,0,0,0,0,0,0,0.0
Tandjouare,169992.8125,946.2047081016254,154.39855812897366,179.65754243715116,158,9.294510613500202,0,0,0,0,0,0,0,0.0
Amou,158955.25,1786.9451705465492,75.44150450878026,88.95362466626912,196,12.330514405784019,0,0,0,0,0,0,0,0.0
Keran,135868.5625,1701.1987100110557,67.66362674302789,79.86636816760637,133,9.788872241877145,0,2,2,0,4,0,0,0.0
Bassar,133646.59375,3271.3452440643173,34.5876277820911,40.853711173559155,427,31.94993512507684,1,2,3,0,6,0,0,0.0
Bas-Mono,125545.5546875,369.63704319940217,290.61470992476853,339.6454900754467,180,14.337425203787147,0,2,2,0,4,0,0,0.0
Wawa,118764.78125,1209.4787897878755,83.46084416725229,98.19500949729724,233,19.618610630834635,0,0,0,0,0,0,0,0.0
Kpélé,108701.3125,1030.579058130278,89.7616123038811,105.47595707718989,273,25.114692152406164,1,1,2,0,4,0,0,0.0
Moyen-Mono,99231.171875,587.6161252577408,144.6518540451895,168.87074334707054,79,7.961208006241738,0,1,1,0,2,0,0,0.0
Doufelgou,97402.1875,1322.4249475006989,61.80341846446701,73.65422717114048,184,18.890746165223447,0,1,1,0,2,0,0,0.0
Agou,94760.84375,1008.0988414515183,80.64752659574468,93.99955624743892,227,23.955042084563544,0,1,1,0,2,0,0,0.0
Cinkassé,94198.359375,242.81247690733716,340.06627933212997,387.9469480925738,410,43.52517418778027,1,1,2,0,4,0,0,0.0
Sotouboua,83606.1015625,3186.2841969284927,22.241580623171057,26.239373638765315,361,43.17866677830126,1,2,3,0,6,0,0,0.0
Binah,79556.546875,447.0241549470343,150.390447778828,177.96923498334507,194,24.385171003564878,0,0,0,0,0,0,0,0.0
Akébou,71477.703125,1118.2023322078194,54.14977509469697,63.9219764314673,88,12.31153158994293,0,0,0,0,0,0,0,0.0
Assoli,62046.875,989.6563342836253,53.0315170940171,62.695375000972824,231,37.229916897506925,0,1,1,0,2,0,0,0.0
Danyi,37162.73046875,363.63721103497744,87.0321556645199,102.19727063404245,132,35.519456814670356,0,0,0,0,0,0,0,0.0
Plaine de Mô,26007.57421875,1256.2857390457086,17.961031919026244,20.701957691970378,26,9.99708768734589,0,0,0,0,0,0,0,0.0
