shapeName,shapeISO,shapeID,shapeGroup,shapeType
Tchamba,,56601680B17532793096074,TGO,ADM2
Tchaoudjo,,56601680B14222633765071,TGO,ADM2
Assoli,,56601680B59731994726086,TGO,ADM2
Binah,,56601680B44914344892125,TGO,ADM2
Doufelgou,,56601680B89390870579143,TGO,ADM2
Keran,,56601680B30245465113687,TGO,ADM2
Kozah,,56601680B44378348729827,TGO,ADM2
Golfe,,56601680B59402294179516,TGO,ADM2
Bas-Mono,,56601680B95494992900514,TGO,ADM2
Vo,,56601680B43007755983133,TGO,ADM2
Yoto,,56601680B13855645397073,TGO,ADM2
Amou,,56601680B97066679611380,TGO,ADM2
Wawa,,56601680B48376088277440,TGO,ADM2
Blitta,,56601680B83789166363061,TGO,ADM2
Sotouboua,,56601680B24632394959352,TGO,ADM2
Bassar,,56601680B12598387573686,TGO,ADM2
Dankpen,,56601680B12249670822801,TGO,ADM2
Ave,,56601680B41562196478781,TGO,ADM2
Zio,,56601680B44610096966608,TGO,ADM2
Agou,,56601680B98633254865748,TGO,ADM2
Danyi,,56601680B28886338508193,TGO,ADM2
Est-Mono,,56601680B43372711183576,TGO,ADM2
Haho,,56601680B64184766281932,TGO,ADM2
Kpélé,,56601680B91306020007274,TGO,ADM2
Moyen-Mono,,56601680B67578860005589,TGO,ADM2
Ogou,,56601680B48471181858151,TGO,ADM2
Kpendjal,,56601680B9516770320708,TGO,ADM2
Oti,,56601680B17683608517106,TGO,ADM2
Tandjouare,,56601680B89112535430785,TGO,ADM2
Tone,,56601680B4810153335262,TGO,ADM2
Cinkassé,,56601680B64387003159978,TGO,ADM2
Plaine de Mô,,56601680B47682688566924,TGO,ADM2
Akébou,,56601680B49010054481747,TGO,ADM2
Anié,,56601680B95177776630805,TGO,ADM2
Kloto,,56601680B4042875560778,TGO,ADM2
Lacs,,56601680B61332506890313,TGO,ADM2
Lome Commune,,56601680B89691125732498,TGO,ADM2
