prefecture,population_worldpop,superficie_km2,densite_worldpop_moyenne,densite_calculee,agents_mobile_money,agents_mm_pour_10000_hab,agences_moov,agences_togocom,agences_telecom,agences_canal,agences_telecom_total,datacenters,antennes_opencellid,antennes_pour_10000_hab,score_population,score_deficit_mobile_money,score_deficit_antennes,score_priorite,rang_priorite,niveau_priorite
Blitta,328039.65625,3215.483752722248,86.6912410808668,102.01875720015056,122,3.719062548554296,1,1,2,0,4,0,0,0.0,0.6182718294495492,1.0,1.0,0.8473087317798198,1,Forte
Dankpen,271032.3125,2656.243020179989,86.61946708213486,102.03596223723336,201,7.416089917323049,0,1,1,0,2,0,0,0.0,0.5717081418301075,0.9296155199834351,1.0,0.8005294647254171,2,Forte
Haho,364772.9375,2786.774216424993,110.87323328267478,130.89432769618062,423,11.596254999043069,1,2,3,0,6,0,0,0.0,0.6441617731170431,0.8500330023786896,1.0,0.7976779101982931,3,Forte
Tchamba,255860.78125,3230.922305311631,66.8218284800209,79.19125162167016,205,8.012169704105444,0,2,2,0,4,0,0,0.0,0.5576571725188331,0.9182672767446959,1.0,0.7903697797054117,4,Forte
Zio,660573.5625,2264.6579543939265,248.3359257518797,291.6880057839836,1309,19.81611245605973,2,4,6,0,12,0,1,0.0151383594011151,0.7890105050815845,0.6935423045251111,0.9615384615384616,0.7853288161503706,5,Forte
Kpendjal,226276.609375,1825.1462129229135,104.22690436434824,123.97725057469516,168,7.4245411606632175,0,0,0,0,0,0,0,0.0,0.5276853122495045,0.9294546241315363,1.0,0.7828559745524164,6,Forte
Yoto,216079.921875,1309.7509895123817,140.76867874592833,164.97786495694592,169,7.821180169519162,0,1,1,0,2,0,0,0.0,0.5164381594875428,0.9219033599379177,1.0,0.7753366077701842,7,Forte
Est-Mono,204780.53125,2346.7980900424777,74.24964874909355,87.25954402250831,163,7.959741045939884,0,0,0,0,0,0,0,0.0,0.5033372882474972,0.9192654202461811,1.0,0.7690410833974715,8,Forte
Oti,351891.21875,4421.330163712746,67.16763098873831,79.58944609884203,534,15.175144236247014,0,2,2,0,4,0,0,0.0,0.6353920748783742,0.7818976512245618,1.0,0.7669158904411744,9,Forte
Anié,259216.53125,2171.67582176038,102.05375246062992,119.36244288978487,297,11.457602590691254,1,1,2,0,4,0,0,0.0,0.5608355288961554,0.8526726846670404,1.0,0.7654032854252784,10,Forte
Ave,202852.25,906.783018021812,190.65061090225564,223.70539144252092,200,9.859392735352948,1,3,4,0,8,0,0,0.0,0.5010295670458867,0.8830996083559497,1.0,0.7536516701607345,11,Forte
Tandjouare,169992.8125,946.2047081016254,154.39855812897366,179.65754243715116,158,9.294510613500202,0,0,0,0,0,0,0,0.0,0.45792348419254614,0.8938539064585631,1.0,0.7407109562604437,12,Forte
Ogou,269114.625,2216.0074216256926,103.26731580967,121.44121105992232,430,15.978321505195044,0,1,1,0,2,0,0,0.0,0.5699761450066273,0.7666066596258551,1.0,0.7346331218529929,13,Forte
Tone,494159.125,1237.7385960242552,335.4780210454854,399.2435289545712,1273,25.760932776461427,1,1,2,0,4,0,0,0.0,0.7182120487973546,0.5803640547295916,1.0,0.7194304414107786,14,Forte
Keran,135868.5625,1701.1987100110557,67.66362674302789,79.86636816760637,133,9.788872241877144,0,2,2,0,4,0,0,0.0,0.4032686850087434,0.884442186532605,1.0,0.7150843486165395,15,Forte
Amou,158955.25,1786.9451705465492,75.44150450878026,88.95362466626912,196,12.33051440578402,0,0,0,0,0,0,0,0.0,0.44154826119239743,0.8360540778575155,1.0,0.7110409356199652,16,Forte
Golfe,1568848.125,152.02910608340565,8715.822916666666,10319.393209740403,2633,16.783013970839274,5,13,18,0,36,1,26,0.1657266856216563,1.0,0.7512868215186033,0.0,0.7005147286074414,17,Forte
Moyen-Mono,99231.171875,587.6161252577408,144.6518540451895,168.87074334707054,79,7.961208006241738,0,1,1,0,2,0,0,0.0,0.32662033292844767,0.9192374920682824,1.0,0.6983431299986921,18,Forte
Lome Commune,1021683.375,129.90623058251944,6549.252403846154,7864.775772637041,3377,33.0532930517735,9,11,20,0,40,2,5,0.0489388407636563,0.8953843706967264,0.44153116687833616,0.8076923076923077,0.6963046765684865,19,Forte
Vo,255998.53125,744.3469216910078,298.0192447613504,343.92367831443755,559,21.836062780145344,0,0,0,0,0,0,0,0.0,0.5577884590783102,0.6550862318378791,1.0,0.6851498763664757,20,Forte
